Feature,Importance
type_token_ratio,0.04184432937876854
skew_word_length,0.03835724582883723
avg_word_length,0.03816585982359869
syll_per_word,0.038008025716578145
characters_per_word,0.03792807838870851
char_count,0.03742177412770427
syllables,0.03670550517367605
words_per_sentence,0.036275712431769434
word_count,0.0358199768735957
long_words,0.033737847907640076
complex_words,0.03263220041691438
sentences,0.020785229614066054
sentences_per_paragraph,0.02070122304568547
median_word_length,0.016242739302918335
Parent_Catgeory,0.009515783230861777
user,0.008645292648732891
system,0.008351293442281084
one_if_male,0.008086010678143268
device,0.0076552974803095935
invention,0.007515525971891593
assembly,0.007342366975805183
method,0.007325873596307361
surface,0.006506967546406222
portion,0.006404292502207824
end,0.0060109125377515
disclosed,0.005925045854931464
position,0.005864068392396156
body,0.005620712164438726
use,0.00561446604431168
embodiment,0.005573842004923933
apparatus,0.005537064780551957
material,0.005009237545893179
side,0.00490224462404353
member,0.004799102150129096
vehicle,0.004735756411207918
support,0.0046764943424063765
information,0.004558991690350987
opening,0.004354905502275102
control,0.004038318609785158
element,0.003634291486238816
component,0.003522227222633355
area,0.0035004605135806168
fluid,0.0034953077520517542
location,0.003470578631537564
mechanism,0.0034404378075982346
communication,0.003400559171971074
handle,0.0033988980606227052
frame,0.00337698357986985
container,0.0033669065210930496
described,0.0033598098925195744
housing,0.0033555741086017028
cover,0.0033528823078286456
data,0.0033439417403124416
example,0.0032584491572280406
air,0.003184471508251661
computer,0.0031414957502110285
direction,0.003110828016907027
water,0.0031000840117117808
attachment,0.003074447453607446
part,0.0030555781777921046
tool,0.0030495456116762564
product,0.0030476412127853486
flow,0.0030293760148767564
shape,0.0030175239822194367
panel,0.0030046778455275398
herein,0.002967595650905788
pressure,0.0029648751938937726
movement,0.002908889775098649
contact,0.0028856418837188646
point,0.002860297604284892
access,0.0028231152381363827
power,0.0028198287396151785
plate,0.0028189827268752196
process,0.0027835916140670314
source,0.00277846517248218
operation,0.0026896994707313344
object,0.0026523888710763173
item,0.0026440039583891734
database,0.0026199325603123423
shaft,0.002588511769604386
response,0.002482646519022932
order,0.002465965795806791
hole,0.0024659056908634086
heat,0.0024467426676685867
channel,0.0024106306962560207
signal,0.0024076436421739964
angle,0.00237724080691367
gas,0.002372916726969108
connection,0.002321725979689032
place,0.002303862189762291
aperture,0.0022782908279234855
strap,0.0022757860903966053
liquid,0.00224793187271803
platform,0.0022442955496132307
condition,0.002217094218116468
combination,0.0021965109069919395
rotation,0.002183175979221902
fastener,0.002152942152387975
wheel,0.0021528912626790474
content,0.0020961993580666956
leg,0.0020924526483657975
blade,0.002052971193791347
way,0.002046491404855489
weight,0.001957817192230659
slot,0.0019349846957324526
respect,0.0019223173455255478
customer,0.0019151467897513264
aspect,0.0018932070335931546
motion,0.0018599201215726367
connector,0.0018592647819980978
transaction,0.0018579636770798057
coupling,0.0018071568527510283
foot,0.001773447309059324
bag,0.0017664213674758072
insert,0.00175746374171496
loop,0.0017520883861812959
image,0.0017368782052228297
payment,0.0017367142995765158
delivery,0.001731013238530332
release,0.0017219560290930777
state,0.001695851749920016
engagement,0.0016920262869257066
compartment,0.0016918399741889588
hook,0.001678053572999703
positioning,0.0016756398863072895
removal,0.0016483614890916765
article,0.001617892214300676
couple,0.0016169027324998597
extension,0.001601512515070626
processing,0.001601239588007474
bracket,0.0015899266403779633
metal,0.0015851291517473799
food,0.0015823726630553195
purchase,0.001577292675072752
proximate,0.0015477667287139606
grip,0.0015419928511185871
lid,0.0015166659624622119
track,0.001502180933693183
pin,0.0015020667147928428
garment,0.0014661219087911685
action,0.0014635875392114866
treatment,0.0014584801633212524
activity,0.0014472725044364604
passage,0.0014453793645596309
wire,0.00144038468146202
transport,0.0014363198055696949
thereon,0.0014340014883442054
fabric,0.0014257031175893267
animal,0.0014210217276242648
software,0.001415074315044114
accessory,0.0014149909120005455
board,0.001408523993943443
clip,0.0014006806794601523
addition,0.0013979420434723424
hinge,0.001389241357396924
receptacle,0.0013833895429107813
flange,0.001379933420451624
fuel,0.001378496323900909
plastic,0.0013738322334447817
box,0.0013595529507710342
placement,0.0013362112655842904
post,0.0013335395256249502
equipment,0.0013228604402344291
thereto,0.001305665428020647
insertion,0.001303681282991703
technique,0.0012867492830911282
cable,0.0012830490749814922
protection,0.00127217418942379
bearing,0.001263832147258387
building,0.0012582046497283106
selection,0.0012579490418551868
therethrough,0.0012482752307032686
skin,0.0012394824557441645
turn,0.0012221806516911982
magnet,0.0012190735519421053
clamp,0.0012017667770023099
sealing,0.001147722019214936
plant,0.0011377682951693724
resistance,0.0011091231341302415
